hospital_id,value,count,feature
1,-0.8599344041769579,179,num__male
1,1.1628793953849292,134,num__male
2,-0.8599344041769579,766,num__male
2,1.1628793953849292,250,num__male
3,-0.8599344041769579,196,num__male
3,1.1628793953849292,158,num__male
4,-0.8599344041769579,78,num__male
4,1.1628793953849292,76,num__male
5,1.1628793953849292,418,num__male
5,-0.8599344041769579,122,num__male
6,1.1628793953849292,74,num__male
6,-0.8599344041769579,71,num__male
7,-0.8599344041769579,224,num__male
7,1.1628793953849292,114,num__male
8,-0.8599344041769579,149,num__male
8,1.1628793953849292,60,num__male
9,-0.8599344041769579,75,num__male
9,1.1628793953849292,46,num__male
10,1.1628793953849292,112,num__male
10,-0.8599344041769579,90,num__male
1,1.0118628110809722,187,num__currentSmoker
1,-0.988276265368129,126,num__currentSmoker
2,-0.988276265368129,605,num__currentSmoker
2,1.0118628110809722,411,num__currentSmoker
3,-0.988276265368129,205,num__currentSmoker
3,1.0118628110809722,149,num__currentSmoker
4,-0.988276265368129,118,num__currentSmoker
4,1.0118628110809722,36,num__currentSmoker
5,1.0118628110809722,537,num__currentSmoker
5,-0.988276265368129,3,num__currentSmoker
6,1.0118628110809722,104,num__currentSmoker
6,-0.988276265368129,41,num__currentSmoker
7,-0.988276265368129,236,num__currentSmoker
7,1.0118628110809722,102,num__currentSmoker
8,-0.988276265368129,177,num__currentSmoker
8,1.0118628110809722,32,num__currentSmoker
9,-0.988276265368129,79,num__currentSmoker
9,1.0118628110809722,42,num__currentSmoker
10,-0.988276265368129,126,num__currentSmoker
10,1.0118628110809722,76,num__currentSmoker
1,-0.1706640371965722,313,num__BPMeds
2,-0.1706640371965722,1015,num__BPMeds
2,5.859465277082314,1,num__BPMeds
3,-0.1706640371965722,307,num__BPMeds
3,5.859465277082314,47,num__BPMeds
4,-0.1706640371965722,149,num__BPMeds
4,5.859465277082314,5,num__BPMeds
5,-0.1706640371965722,538,num__BPMeds
5,5.859465277082314,2,num__BPMeds
6,-0.1706640371965722,129,num__BPMeds
6,5.859465277082314,16,num__BPMeds
7,-0.1706640371965722,337,num__BPMeds
7,5.859465277082314,1,num__BPMeds
8,-0.1706640371965722,194,num__BPMeds
8,5.859465277082314,15,num__BPMeds
9,-0.1706640371965722,113,num__BPMeds
9,5.859465277082314,8,num__BPMeds
10,-0.1706640371965722,201,num__BPMeds
10,5.859465277082314,1,num__BPMeds
1,-0.0709720863229836,313,num__prevalentStroke
2,-0.0709720863229836,1016,num__prevalentStroke
3,-0.0709720863229836,349,num__prevalentStroke
3,14.09004654941586,5,num__prevalentStroke
4,-0.0709720863229836,153,num__prevalentStroke
4,14.09004654941586,1,num__prevalentStroke
5,-0.0709720863229836,540,num__prevalentStroke
6,-0.0709720863229836,140,num__prevalentStroke
6,14.09004654941586,5,num__prevalentStroke
7,-0.0709720863229836,336,num__prevalentStroke
7,14.09004654941586,2,num__prevalentStroke
8,-0.0709720863229836,206,num__prevalentStroke
8,14.09004654941586,3,num__prevalentStroke
9,-0.0709720863229836,121,num__prevalentStroke
10,-0.0709720863229836,201,num__prevalentStroke
10,14.09004654941586,1,num__prevalentStroke
1,-0.6626594315891665,309,num__prevalentHyp
1,1.509070802179387,4,num__prevalentHyp
2,-0.6626594315891665,980,num__prevalentHyp
2,1.509070802179387,36,num__prevalentHyp
3,1.509070802179387,333,num__prevalentHyp
3,-0.6626594315891665,21,num__prevalentHyp
4,-0.6626594315891665,84,num__prevalentHyp
4,1.509070802179387,70,num__prevalentHyp
5,-0.6626594315891665,441,num__prevalentHyp
5,1.509070802179387,99,num__prevalentHyp
6,1.509070802179387,124,num__prevalentHyp
6,-0.6626594315891665,21,num__prevalentHyp
7,-0.6626594315891665,309,num__prevalentHyp
7,1.509070802179387,29,num__prevalentHyp
8,1.509070802179387,176,num__prevalentHyp
8,-0.6626594315891665,33,num__prevalentHyp
9,1.509070802179387,103,num__prevalentHyp
9,-0.6626594315891665,18,num__prevalentHyp
10,-0.6626594315891665,141,num__prevalentHyp
10,1.509070802179387,61,num__prevalentHyp
1,-0.1534161392039829,312,num__diabetes
1,6.518219042589739,1,num__diabetes
2,-0.1534161392039829,1016,num__diabetes
3,-0.1534161392039829,354,num__diabetes
4,-0.1534161392039829,92,num__diabetes
4,6.518219042589739,62,num__diabetes
5,-0.1534161392039829,538,num__diabetes
5,6.518219042589739,2,num__diabetes
6,-0.1534161392039829,145,num__diabetes
7,-0.1534161392039829,338,num__diabetes
8,-0.1534161392039829,208,num__diabetes
8,6.518219042589739,1,num__diabetes
9,-0.1534161392039829,109,num__diabetes
9,6.518219042589739,12,num__diabetes
10,-0.1534161392039829,202,num__diabetes
