hospital_id,quartile,count,feature
1,1,227,num__age
1,2,46,num__age
1,3,21,num__age
1,4,19,num__age
2,1,282,num__age
2,2,344,num__age
2,3,219,num__age
2,4,171,num__age
3,1,39,num__age
3,2,75,num__age
3,3,122,num__age
3,4,118,num__age
4,1,14,num__age
4,2,29,num__age
4,3,47,num__age
4,4,64,num__age
5,1,171,num__age
5,2,193,num__age
5,3,104,num__age
5,4,72,num__age
6,1,10,num__age
6,2,12,num__age
6,3,20,num__age
6,4,103,num__age
7,1,94,num__age
7,2,114,num__age
7,3,78,num__age
7,4,52,num__age
8,1,10,num__age
8,2,12,num__age
8,3,34,num__age
8,4,153,num__age
9,1,16,num__age
9,2,29,num__age
9,3,39,num__age
9,4,37,num__age
10,1,24,num__age
10,2,33,num__age
10,3,91,num__age
10,4,54,num__age
1,1,87,num__cigsPerDay
1,2,40,num__cigsPerDay
1,3,111,num__cigsPerDay
1,4,75,num__cigsPerDay
2,1,207,num__cigsPerDay
2,2,387,num__cigsPerDay
2,3,303,num__cigsPerDay
2,4,119,num__cigsPerDay
3,1,78,num__cigsPerDay
3,2,126,num__cigsPerDay
3,3,75,num__cigsPerDay
3,4,75,num__cigsPerDay
4,1,77,num__cigsPerDay
4,2,39,num__cigsPerDay
4,3,20,num__cigsPerDay
4,4,18,num__cigsPerDay
5,1,2,num__cigsPerDay
5,2,1,num__cigsPerDay
5,3,105,num__cigsPerDay
5,4,432,num__cigsPerDay
6,1,12,num__cigsPerDay
6,2,26,num__cigsPerDay
6,3,65,num__cigsPerDay
6,4,42,num__cigsPerDay
7,1,195,num__cigsPerDay
7,2,43,num__cigsPerDay
7,3,68,num__cigsPerDay
7,4,32,num__cigsPerDay
8,1,114,num__cigsPerDay
8,2,63,num__cigsPerDay
8,3,24,num__cigsPerDay
8,4,8,num__cigsPerDay
9,1,29,num__cigsPerDay
9,2,45,num__cigsPerDay
9,3,24,num__cigsPerDay
9,4,23,num__cigsPerDay
10,1,47,num__cigsPerDay
10,2,78,num__cigsPerDay
10,3,53,num__cigsPerDay
10,4,24,num__cigsPerDay
1,1,209,num__totChol
1,2,46,num__totChol
1,3,36,num__totChol
1,4,22,num__totChol
2,1,275,num__totChol
2,2,346,num__totChol
2,3,205,num__totChol
2,4,190,num__totChol
3,1,56,num__totChol
3,2,80,num__totChol
3,3,128,num__totChol
3,4,90,num__totChol
4,1,16,num__totChol
4,2,38,num__totChol
4,3,60,num__totChol
4,4,40,num__totChol
5,1,96,num__totChol
5,2,122,num__totChol
5,3,174,num__totChol
5,4,148,num__totChol
6,1,15,num__totChol
6,2,11,num__totChol
6,3,21,num__totChol
6,4,98,num__totChol
7,1,88,num__totChol
7,2,115,num__totChol
7,3,69,num__totChol
7,4,66,num__totChol
8,1,61,num__totChol
8,2,53,num__totChol
8,3,49,num__totChol
8,4,46,num__totChol
9,1,15,num__totChol
9,2,20,num__totChol
9,3,16,num__totChol
9,4,70,num__totChol
10,1,31,num__totChol
10,2,31,num__totChol
10,3,75,num__totChol
10,4,65,num__totChol
1,1,266,num__sysBP
1,2,35,num__sysBP
1,3,11,num__sysBP
1,4,1,num__sysBP
2,1,341,num__sysBP
2,2,446,num__sysBP
2,3,196,num__sysBP
2,4,33,num__sysBP
3,2,6,num__sysBP
3,3,57,num__sysBP
3,4,291,num__sysBP
4,1,15,num__sysBP
4,2,28,num__sysBP
4,3,71,num__sysBP
4,4,40,num__sysBP
5,1,128,num__sysBP
5,2,161,num__sysBP
5,3,192,num__sysBP
5,4,59,num__sysBP
6,1,3,num__sysBP
6,2,6,num__sysBP
6,3,32,num__sysBP
6,4,104,num__sysBP
7,1,94,num__sysBP
7,2,139,num__sysBP
7,3,81,num__sysBP
7,4,24,num__sysBP
8,2,7,num__sysBP
8,3,40,num__sysBP
8,4,162,num__sysBP
9,1,3,num__sysBP
9,2,4,num__sysBP
9,3,17,num__sysBP
9,4,97,num__sysBP
10,1,16,num__sysBP
10,2,30,num__sysBP
10,3,120,num__sysBP
10,4,36,num__sysBP
1,1,267,num__diaBP
1,2,33,num__diaBP
1,3,12,num__diaBP
1,4,1,num__diaBP
2,1,370,num__diaBP
2,2,387,num__diaBP
2,3,220,num__diaBP
2,4,39,num__diaBP
3,1,3,num__diaBP
3,2,5,num__diaBP
3,3,35,num__diaBP
3,4,311,num__diaBP
4,1,18,num__diaBP
4,2,35,num__diaBP
4,3,62,num__diaBP
4,4,39,num__diaBP
5,1,141,num__diaBP
5,2,169,num__diaBP
5,3,174,num__diaBP
5,4,56,num__diaBP
6,1,12,num__diaBP
6,2,21,num__diaBP
6,3,58,num__diaBP
6,4,54,num__diaBP
7,1,89,num__diaBP
7,2,143,num__diaBP
7,3,86,num__diaBP
7,4,20,num__diaBP
8,1,11,num__diaBP
8,2,27,num__diaBP
8,3,88,num__diaBP
8,4,83,num__diaBP
9,1,1,num__diaBP
9,2,5,num__diaBP
9,3,14,num__diaBP
9,4,101,num__diaBP
10,1,17,num__diaBP
10,2,27,num__diaBP
10,3,113,num__diaBP
10,4,45,num__diaBP
1,1,194,num__BMI
1,2,65,num__BMI
1,3,32,num__BMI
1,4,22,num__BMI
2,1,297,num__BMI
2,2,316,num__BMI
2,3,228,num__BMI
2,4,175,num__BMI
3,1,33,num__BMI
3,2,53,num__BMI
3,3,121,num__BMI
3,4,147,num__BMI
4,1,14,num__BMI
4,2,16,num__BMI
4,3,28,num__BMI
4,4,96,num__BMI
5,1,142,num__BMI
5,2,183,num__BMI
5,3,122,num__BMI
5,4,93,num__BMI
6,1,16,num__BMI
6,2,30,num__BMI
6,3,53,num__BMI
